month_date,gross_ret,n_cohorts,n_positions,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2016-07-31,0.08090563444444444,6,900,6.666666666666666e-4,0.08023896777777778,0.05777581393177392,217929.8977395971,207682.90192964958,315668.2108455324,220430.513651161,-0.05783052223742924,0.022463153846003864
2016-08-31,0.011678818104622221,6,900,6.666666666666666e-4,0.011012151437955555,0.019955025917343664,220475.06137485677,209969.93749677294,321967.37817423657,220430.513651161,-0.04745520926808833,-0.008942874479388109
2016-09-30,0.03410899333333333,6,900,6.666666666666666e-4,0.03344232666666666,0.019496258925122523,227995.243773458,216991.8207367196,328244.5375445643,220430.513651161,-0.015599895211800163,0.013946067741544138
2016-10-31,-0.06035532666666667,6,900,6.666666666666666e-4,-0.06102199333333334,-0.0347431473265074,214234.51635706468,203750.54729833562,316840.2892175322,220430.513651161,-0.07566995184351843,-0.026278846006825937
2016-11-30,0.11531846888888889,6,900,6.666666666666666e-4,0.11465180222222222,0.1007311675155631,238939.712766513,227110.91474985392,348755.98146638286,227110.91474985392,0,0.013920634706659121
2016-12-31,-9.548955555555572e-4,6,900,6.666666666666666e-4,-0.0016215622222222237,0.020036546596933713,238711.5502967465,226742.64027024125,355743.8469399934,227110.91474985392,-0.001621562222222206,-0.021658108819155936
2017-01-31,0.037575005555555555,6,900,6.666666666666666e-4,0.036908338888888885,0.020384462738301558,247681.138125322,235111.33447789674,362995.49413232174,235111.33447789674,0,0.016523876150587327
2017-02-28,0.015074528888888888,6,900,6.666666666666666e-4,0.014407862222222222,0.028461475901541286,251414.81459722505,238498.78619193705,373326.8816409369,238498.78619193705,0,-0.014053613679319064
2017-03-31,-0.016715066666666667,6,900,6.666666666666666e-4,-0.017381733333333333,0.004816320068220577,247212.39921024482,234353.26389002512,375124.94339299033,238498.78619193705,-0.01738173333333337,-0.02219805340155391
2017-04-30,0.008023646666666669,6,900,6.666666666666666e-4,0.007356980000000002,0.01525624673109722,249195.9441531268,236077.39616539876,380847.9420843827,238498.78619193705,-0.010152630397831985,-0.00789926673109722
2017-05-31,-0.025338387777777777,6,900,6.666666666666666e-4,-0.026005054444444443,-9.184356858464192e-4,242881.7206875254,229938.19062501486,380498.15774349123,238498.78619193705,-0.03589366513602654,-0.025086618758598023
2017-06-30,0.042806415496477776,6,900,6.666666666666666e-4,0.042139748829811106,0.030412715509267267,253278.61653977507,239627.72822433425,392070.1399667443,239627.72822433425,0,0.01172703332054384
2017-07-31,0.012561460000000002,6,900,6.666666666666666e-4,0.011894793333333336,0.01604536738148984,256460.1657502948,242478.05052849886,398361.0494018228,242478.05052849886,0,-0.0041505740481565054
